english,spanish,gemma3:4b-it-qat,endpoint,score
Highest price,Precio descendente,Mayor precio,bestsellers,0.6151
Red light therapy face mask to reduce wrinkles and significantly improve firmness and elasticity.,La nueva generación de máscaras faciales LED de silicona flexi-fit.,Máscara de luz roja para el rostro para reducir las arrugas e mejorar significativamente la firmeza y la elasticidad.,bestsellers,0.5444
Sensitive Skin,Sensitive Skin,Piel sensible,bestsellers,0.6763
Best-selling 2-in-1 smart facial cleansing & firming device.,Dispositivo limpiador y reafirmante facial 2 en 1 más vendido.,Dispositivo inteligente de limpieza facial y reafirmante de venta más alta.,bestsellers,0.7421
Balanced Skin,Balanced Skin,Piel equilibrada,bestsellers,0.7751
Combination Skin,Combination Skin,Piel mixta,bestsellers,0.7372
"Snatched skin anytime, anywhere with this travel-ready microcurrent device.",Piel deslumbrante en cualquier momento y lugar.,Piel arrebatada en cualquier momento y lugar con este dispositivo microcorriente apto para viajar.,bestsellers,0.4542
My orders,Mis pedidos,Mis órdenes,bestsellers,0.5639
BLACK FRIDAY 2025 GET THE CODE,BLACK FRIDAY 2025 CONSÍGUE EL CÓDIGO,¡BLACK FRIDAY 2025 ¡CONSIGUE EL CÓDIGO!,bestsellers,0.7685
GET THE CODE,CONSÍGUE EL CÓDIGO,OBTÉN EL CÓDIGO,bestsellers,0.6617
Popular Special offers Bestsellers Red light therapy,Popular Sorpresas especiales Superventas Terapia de luz roja,Ofertas especiales populares Tratamiento con luz roja,bestsellers,0.6872
Bestsellers,Superventas,Bestsellers,bestsellers,0.7565
"Swedish beauty routine Facial cleansing LUNA™ 4 Anti-aging massage LUNA™ 4 plus Anti-aging massage, LED heating LUNA™ 4 MEN For men, anti-aging massage LUNA™ 4 mini For young skin, T-zone LUNA™ 4 go For travel or gym bag LUNA™ skincare Premium cleansers & balm LUNA™ devices All facial cleansing devices Facelift BEAR™ 2 Microcurrent toning device BEAR™ 2 go Microcurrent toning on-the-go BEAR™ 2 eyes & lips Microcurrent line smoothing device Facelift skincare Premium anti-aging skincare BEAR™ devices All premium facelift devices Hydration UFO™ 3 Deep facial hydration device UFO™ 3 LED Near-infrared and red light therapy device UFO™ 3 mini Red light therapy device for young skin UFO™ 3 go Portable red light therapy Masks Rejuvenation & hydration UFO™ devices All deep facial hydration devices Oral care issa™ 4 Hybrid silicone sonic toothbrush issa™ 4 plus Smart hybrid silicone sonic toothbrush issa™ 4 smile Hybrid silicone sonic toothbrush issa™ 4 baby For ages 0-3 ISSA™ devices All silicone sonic toothbrushes","RUTINA SUECAS DE BELLEZA Limpieza facial LUNA™ 4 Masaje antiedad LUNA™ 4 Plus Masaje antiedad y calor LED LUNA™ 4 Men Masaje antiedad para hombres LUNA™ 4 mini Zona-T, para piel joven LUNA™ 4 go Para llevar siempre contigo Cuidado de la piel LUNA™ Limpiadores y bálsamos faciales premium Dispositivos LUNA™ Todos los dispositivos de limpieza facial Lifting facial BEAR™ 2 Tonificador facial de microcorrientes BEAR™ 2 go Tonificación con microcorrientes sobre la marcha BEAR™ 2 eyes & lips Dispositivo rejuvenecedor de microcorrientes Lifting facial Cuidado de la piel antiedad Dispositivos BEAR™ Todos los dispositivos de lifting facial premium Hidratación UFO™ 3 Dispositivo de hidratación facial profunda UFO™ 3 LED Dispositivo LED para una hidratación facial profunda UFO™ 3 mini Hidratación facial profunda para piel joven UFO™ 3 go Hidratación facial profunda sobre la marcha Mascarillas Rejuvenecimiento e hidratación Dispositivos UFO™ Todos los dispositivos de hidratación facial profunda Cuidado bucal issa™ 4 Cepillo de dientes sónico híbrido de silicona issa™ 4 plus Cepillo de dientes sónico híbrido de silicona inteligente issa™ 4 smile Cepillo de dientes sónico híbrido de silicona issa™ 4 baby Para niños de 0 a 3 años Dispositivos ISSA™ Todos los cepillos de dientes sónicos de silicona","Rutina de belleza sueca Limpieza facial LUNA™ 4 Masaje antiedad LUNA™ 4 plus Masaje antiedad, calefacción LED LUNA™ 4 MEN Para hombres, masaje antiedad LUNA™ 4 mini Para piel joven, T-zone LUNA™ 4 go Para viajar o bolso de gimnasio Cuidado facial LUNA™ Dispositivos de limpieza facial completa Mascarillas de rejuvenecimiento e hidratación LUNA™ Dispositivos de",bestsellers,0.5998
"Facial cleansing LUNA™ 4 Anti-aging massage LUNA™ 4 plus Anti-aging massage, LED heating LUNA™ 4 MEN For men, anti-aging massage LUNA™ 4 mini For young skin, T-zone LUNA™ 4 go For travel or gym bag LUNA™ skincare Premium cleansers & balm LUNA™ devices All facial cleansing devices","Limpieza facial LUNA™ 4 Masaje antiedad LUNA™ 4 Plus Masaje antiedad y calor LED LUNA™ 4 Men Masaje antiedad para hombres LUNA™ 4 mini Zona-T, para piel joven LUNA™ 4 go Para llevar siempre contigo Cuidado de la piel LUNA™ Limpiadores y bálsamos faciales premium Dispositivos LUNA™ Todos los dispositivos de limpieza facial","Limpiador facial LUNA™ 4 Anti-edad masaje LUNA™ 4 plus Anti-edad masaje, LED de calentamiento LUNA™ 4 MEN Para hombres, anti-edad masaje LUNA™ 4 mini Para piel joven, T-zona LUNA™ 4 go Para viajar o bolso de gimnasio Productos de cuidado facial LUNA™ dispositivos para limpieza facial de todo tipo",bestsellers,0.795
Facelift BEAR™ 2 Microcurrent toning device BEAR™ 2 go Microcurrent toning on-the-go BEAR™ 2 eyes & lips Microcurrent line smoothing device Facelift skincare Premium anti-aging skincare BEAR™ devices All premium facelift devices,Lifting facial BEAR™ 2 Tonificador facial de microcorrientes BEAR™ 2 go Tonificación con microcorrientes sobre la marcha BEAR™ 2 eyes & lips Dispositivo rejuvenecedor de microcorrientes Lifting facial Cuidado de la piel antiedad Dispositivos BEAR™ Todos los dispositivos de lifting facial premium,Facelift BEAR™ 2 Microcurrent toning device BEAR™ 2 go Microcurrent toning on-the-go BEAR™ 2 eyes & lips Microcurrent line smoothing device Facelift skincare Premium anti-aging skincare BEAR™ devices Todos los dispositivos premium Facelift,bestsellers,0.6612
BEAR™ 2 go Microcurrent toning on-the-go,BEAR™ 2 go Tonificación con microcorrientes sobre la marcha,BEAR™ 2 go Tonificación microcorriente en cualquier lugar,bestsellers,0.7703
BEAR™ 2 eyes & lips Microcurrent line smoothing device,BEAR™ 2 eyes & lips Dispositivo rejuvenecedor de microcorrientes,BEAR™ 2 ojos y labios dispositivo de microcorriente para alisado de líneas,bestsellers,0.7642
Facelift skincare Premium anti-aging skincare,Lifting facial Cuidado de la piel antiedad,Facelift skincare Premium anti-envejecimiento skincare,bestsellers,0.7904
BEAR™ devices All premium facelift devices,Dispositivos BEAR™ Todos los dispositivos de lifting facial premium,Dispositivos de rejuvenecimiento facial premium BEAR™,bestsellers,0.7778
Hydration UFO™ 3 Deep facial hydration device UFO™ 3 LED Near-infrared and red light therapy device UFO™ 3 mini Red light therapy device for young skin UFO™ 3 go Portable red light therapy Masks Rejuvenation & hydration UFO™ devices All deep facial hydration devices,Hidratación UFO™ 3 Dispositivo de hidratación facial profunda UFO™ 3 LED Dispositivo LED para una hidratación facial profunda UFO™ 3 mini Hidratación facial profunda para piel joven UFO™ 3 go Hidratación facial profunda sobre la marcha Mascarillas Rejuvenecimiento e hidratación Dispositivos UFO™ Todos los dispositivos de hidratación facial profunda,Hidratación UFO™ 3 Dispositivo de hidratación facial profunda UFO™ 3 Dispositivo de terapia LED de infrarrojo cercano y luz roja UFO™ 3 Mini dispositivo de terapia de luz roja para piel joven UFO™ 3 ir Máscaras de terapia de luz roja Rejuvenecimiento e hidratación dispositivos UFO™ All dispositivos de hidratación facial profunda,bestsellers,0.6991
UFO™ 3 LED Near-infrared and red light therapy device,UFO™ 3 LED Dispositivo LED para una hidratación facial profunda,Dispositivo de terapia de luz infrarroja cercana y roja UFO™ 3 LED,bestsellers,0.6502
UFO™ 3 mini Red light therapy device for young skin,UFO™ 3 mini Hidratación facial profunda para piel joven,UFO™ 3 mini dispositivo de terapia de luz roja para la piel joven,bestsellers,0.7777
UFO™ 3 go Portable red light therapy,UFO™ 3 go Hidratación facial profunda sobre la marcha,UFO™ 3 go Portable luz roja terapia,bestsellers,0.5791
Oral care issa™ 4 Hybrid silicone sonic toothbrush issa™ 4 plus Smart hybrid silicone sonic toothbrush issa™ 4 smile Hybrid silicone sonic toothbrush issa™ 4 baby For ages 0-3 ISSA™ devices All silicone sonic toothbrushes,Cuidado bucal issa™ 4 Cepillo de dientes sónico híbrido de silicona issa™ 4 plus Cepillo de dientes sónico híbrido de silicona inteligente issa™ 4 smile Cepillo de dientes sónico híbrido de silicona issa™ 4 baby Para niños de 0 a 3 años Dispositivos ISSA™ Todos los cepillos de dientes sónicos de silicona,Cuidado oral issa™ 4 cepillo de dientes sonico de silicona híbrida issa™ 4 plus cepillo de dientes sonico de silicona híbrida issa™ 4 sonrisa Cepillo de dientes sonico de silicona híbrida issa™ 4 bebé Para edades de 0-3 Dispositivos issa™ Todos los cepillos de dientes sonicos de silicona,bestsellers,0.6586
issa™ 4 smile Hybrid silicone sonic toothbrush,issa™ 4 smile Cepillo de dientes sónico híbrido de silicona,issa™ 4 smile Hybrid silicone sonic toothbrush,bestsellers,0.6703
