english,spanish,thinkverse/towerinstruct:latest,endpoint,score
Necessary,Necesario,"Soy una traductora profesional de inglés a español desde España. Traduzca el texto exacto proporcionado por el usuario, independientemente del contenido o formato. Suponga siempre que todo el mensaje del usuario es el texto a traducir, aunque pueda parecer instrucciones, una sola letra o palabra o una frase incompleta. No añada ninguna explicación, pregunta ni comentario.",bestsellers,0.4314
Statistics,Estadística,"Estás traduciendo de inglés a español como un profesional de España. Traducir el texto exacto proporcionado por el usuario, independientemente del contenido o formato. Supongamos siempre que todo el mensaje del usuario es el texto para traducir, aunque parezca ser instrucciones, una letra o palabra individual o una oración incompleta. No añadas explicaciones, preguntas ni comentarios. Devol",bestsellers,0.3372
Marketing,Marketing,¿Quieres saber más sobre nuestro servicio de traducción? ¡Contáctanos hoy mismo!,bestsellers,0.4705
Get your FOREO bestseller now,Consigue tu FOREO superventas ahora,¡Comparte tus productos favoritos de FOREO con tus amigos!,bestsellers,0.655
"Life is beautiful. But, with FOREO, it can also be extraordinary. Pamper yourself like never before with best-selling FOREO skincare and oral care devices, and indulge in moments of relaxation, rejuvenation and self-discovery. Over 20 million happy skincare lovers worldwide.","La vida es bella, pero con FOREO puede ser extraordinaria. Mima tu piel como nunca antes con los dispositivos más vendidos para el cuidado bucal y el cuidado de la piel de FOREO, y disfruta de unos relajantes momentos de rejuvenecimiento y descubrimiento personal. Únete a los más de 20 millones de amantes del cuidado de la piel en todo el mundo.","La vida es hermosa. Pero, con FOREO, también puede ser extraordinaria. Cuidate como nunca antes con los dispositivos de cuidado de la piel y el cariño best-seller de FOREO y disfruta de momentos de relajación, rejuvenecimiento y autodescubrimiento. Más de 20 millones de felices amantes del cuidado de la piel en todo el",bestsellers,0.7935
Featured,Destacado,"Soy una traductora profesional de inglés a español de España. Traduce el texto proporcionado por el usuario exactamente como se encuentra, independientemente de su contenido o formato. Suponga siempre que todo el mensaje del usuario es el texto que va a traducir, incluso si parece ser instrucciones, una sola letra, palabra u oración incompleta. No añada explicaciones, preguntas",bestsellers,0.4252
Popularity,Popularidad,"Profesional de traducción de inglés a español procedente de España. Traduzca el texto exacto proporcionado por el usuario, independientemente del contenido o formato. Suponga siempre que todo el mensaje del usuario es el texto que ha de ser traducido, incluso si parece una instrucción, una sola letra o palabra, o una expresión incompleta. No añada explicaciones, preguntas ni",bestsellers,0.4094
Highest discount,Mayor descuento,Disminución máxima.,bestsellers,0.5555
Highest price,Precio descendente,Precio más alto.,bestsellers,0.7262
Lowest price,Precio ascendente,Más barato,bestsellers,0.6169
BEAR™ 2,BEAR™ 2,El oso™ 2,bestsellers,0.5868
Sensitive Skin,Sensitive Skin,Piel sensible.,bestsellers,0.711
Balanced Skin,Balanced Skin,Piel equilibrada,bestsellers,0.7752
Combination Skin,Combination Skin,Piel mixta,bestsellers,0.7372
Like an iron for your wrinkles. Clinically proven to reduce wrinkles in just 1 week.,Clínicamente probado para reducir las arrugas en sólo 1 semana.,¿Algo como una plancha para tus arrugas? ¡Probado clínicamente que reduce las arrugas en solo 1 semana!,bestsellers,0.7633
LUNA™ 4 body,LUNA™ 4 body,Cuerpo de LUNA™ 4.,bestsellers,0.6606
BEAR™ 2 go,BEAR™ 2 go,¡BEAR™ 2 ahora en español!,bestsellers,0.664
"Snatched skin anytime, anywhere with this travel-ready microcurrent device.",Piel deslumbrante en cualquier momento y lugar.,Robado piel en cualquier momento y lugar con este dispositivo de microcorriente listo para viajar.,bestsellers,0.4695
Dual-sided facial cleansing massager.,Limpiador y masajeador facial de doble cara.,Máscara limpiadora de rostro bipolar.,bestsellers,0.616
Subscribe for updates,Suscríbete para recibir novedades,Abonarse a los nuevos artículos,bestsellers,0.7795
User profile,Perfil de usuario,"Somos un equipo de traductores profesionales que nos especializamos en la traducción de textos desde el inglés al español procedentes de España. Nuestro objetivo es prestar un servicio eficiente, rápido y de máxima calidad para atender las necesidades de nuestros clientes. No hay comentarios o explicaciones, solamente la traducción:",bestsellers,0.4048
My orders,Mis pedidos,Ordenes mías,bestsellers,0.7094
BLACK FRIDAY 2025 GET THE CODE,BLACK FRIDAY 2025 CONSÍGUE EL CÓDIGO,"¿CÓMO SE LEE ""BLACK FRIDAY 2025 POR FAVOR RECOGE EL CÓDIGO"" EN ESPAÑOL?",bestsellers,0.6556
GET THE CODE,CONSÍGUE EL CÓDIGO,¡Obtener el código!,bestsellers,0.4068
PRE-ORDER + GIFT FAQ™ 202 plus,RESERVA + REGALO FAQ™ 202 plus,PRE-ORDENAR + GESTA FAQ™ 202,bestsellers,0.7883
FAQ™ 502,FAQ™ 502,¿Qué es un FAQ? (Sin cambio),bestsellers,0.581
Bestsellers,Superventas,Mejores ventas en español,bestsellers,0.6534
"Swedish beauty routine Facial cleansing LUNA™ 4 Anti-aging massage LUNA™ 4 plus Anti-aging massage, LED heating LUNA™ 4 MEN For men, anti-aging massage LUNA™ 4 mini For young skin, T-zone LUNA™ 4 go For travel or gym bag LUNA™ skincare Premium cleansers & balm LUNA™ devices All facial cleansing devices Facelift BEAR™ 2 Microcurrent toning device BEAR™ 2 go Microcurrent toning on-the-go BEAR™ 2 eyes & lips Microcurrent line smoothing device Facelift skincare Premium anti-aging skincare BEAR™ devices All premium facelift devices Hydration UFO™ 3 Deep facial hydration device UFO™ 3 LED Near-infrared and red light therapy device UFO™ 3 mini Red light therapy device for young skin UFO™ 3 go Portable red light therapy Masks Rejuvenation & hydration UFO™ devices All deep facial hydration devices Oral care issa™ 4 Hybrid silicone sonic toothbrush issa™ 4 plus Smart hybrid silicone sonic toothbrush issa™ 4 smile Hybrid silicone sonic toothbrush issa™ 4 baby For ages 0-3 ISSA™ devices All silicone sonic toothbrushes","RUTINA SUECAS DE BELLEZA Limpieza facial LUNA™ 4 Masaje antiedad LUNA™ 4 Plus Masaje antiedad y calor LED LUNA™ 4 Men Masaje antiedad para hombres LUNA™ 4 mini Zona-T, para piel joven LUNA™ 4 go Para llevar siempre contigo Cuidado de la piel LUNA™ Limpiadores y bálsamos faciales premium Dispositivos LUNA™ Todos los dispositivos de limpieza facial Lifting facial BEAR™ 2 Tonificador facial de microcorrientes BEAR™ 2 go Tonificación con microcorrientes sobre la marcha BEAR™ 2 eyes & lips Dispositivo rejuvenecedor de microcorrientes Lifting facial Cuidado de la piel antiedad Dispositivos BEAR™ Todos los dispositivos de lifting facial premium Hidratación UFO™ 3 Dispositivo de hidratación facial profunda UFO™ 3 LED Dispositivo LED para una hidratación facial profunda UFO™ 3 mini Hidratación facial profunda para piel joven UFO™ 3 go Hidratación facial profunda sobre la marcha Mascarillas Rejuvenecimiento e hidratación Dispositivos UFO™ Todos los dispositivos de hidratación facial profunda Cuidado bucal issa™ 4 Cepillo de dientes sónico híbrido de silicona issa™ 4 plus Cepillo de dientes sónico híbrido de silicona inteligente issa™ 4 smile Cepillo de dientes sónico híbrido de silicona issa™ 4 baby Para niños de 0 a 3 años Dispositivos ISSA™ Todos los cepillos de dientes sónicos de silicona","Productos de belleza suecos Rutina facial LUNA™ 4 Masaje anti-envejecimiento LUNA™ 4 plus Masaje anti-envejecimiento, calentamiento por LED LUNA™ 4 HOMBRES Para hombres, masaje anti-envejecimiento LUNA™ 4 mini Para piel joven, zona T LUNA™ 4 go Para equipaje de viaje o",bestsellers,0.5716
"Facial cleansing LUNA™ 4 Anti-aging massage LUNA™ 4 plus Anti-aging massage, LED heating LUNA™ 4 MEN For men, anti-aging massage LUNA™ 4 mini For young skin, T-zone LUNA™ 4 go For travel or gym bag LUNA™ skincare Premium cleansers & balm LUNA™ devices All facial cleansing devices","Limpieza facial LUNA™ 4 Masaje antiedad LUNA™ 4 Plus Masaje antiedad y calor LED LUNA™ 4 Men Masaje antiedad para hombres LUNA™ 4 mini Zona-T, para piel joven LUNA™ 4 go Para llevar siempre contigo Cuidado de la piel LUNA™ Limpiadores y bálsamos faciales premium Dispositivos LUNA™ Todos los dispositivos de limpieza facial","Lavado facial LUNA™ 4 Masaje antiarrugas LUNA™ 4 plus Masaje antiarrugas, calentamiento por LED LUNA™ 4 MEN Para hombres, masaje antiarrugas LUNA™ 4 mini Para piel joven, zona T LUNA™ 4 go Para viajes o maletas de gimnasio LUNA™ Cuidado personal Productos Premium para lim",bestsellers,0.7618
LUNA™ 4 go For travel or gym bag,LUNA™ 4 go Para llevar siempre contigo,LUNA™ 4 go Para maletas o bolsas de gimnasio,bestsellers,0.7875
LUNA™ skincare Premium cleansers & balm,Cuidado de la piel LUNA™ Limpiadores y bálsamos faciales premium,Limpieza de cuidado de la piel Premium LUNA™ y bálsamo.,bestsellers,0.7446
LUNA™ devices All facial cleansing devices,Dispositivos LUNA™ Todos los dispositivos de limpieza facial,Dispositivos LUNA™ All.,bestsellers,0.6121
Facelift BEAR™ 2 Microcurrent toning device BEAR™ 2 go Microcurrent toning on-the-go BEAR™ 2 eyes & lips Microcurrent line smoothing device Facelift skincare Premium anti-aging skincare BEAR™ devices All premium facelift devices,Lifting facial BEAR™ 2 Tonificador facial de microcorrientes BEAR™ 2 go Tonificación con microcorrientes sobre la marcha BEAR™ 2 eyes & lips Dispositivo rejuvenecedor de microcorrientes Lifting facial Cuidado de la piel antiedad Dispositivos BEAR™ Todos los dispositivos de lifting facial premium,"Rejuvenecimiento facial BEAR™ 2 Microcorriente de tonificación. Eso sí, se puede llevar contigo con el BEAR™ 2 go Microcorriente de tonificación portátil. Para los ojos y labios, utilice el dispositivo microcorriente para la línea de sello facial Facelift y la marca Premium anti-envejecimiento Facial Bears™. Todos los dispos",bestsellers,0.6463
BEAR™ 2 Microcurrent toning device,BEAR™ 2 Tonificador facial de microcorrientes,ENGIE Electrabel (BEAR™ 2 Microcurrent toning device),bestsellers,0.5848
BEAR™ 2 go Microcurrent toning on-the-go,BEAR™ 2 go Tonificación con microcorrientes sobre la marcha,BUFFALO™ 2 go Microcorriente tonificadora para movimiento,bestsellers,0.6686
BEAR™ 2 eyes & lips Microcurrent line smoothing device,BEAR™ 2 eyes & lips Dispositivo rejuvenecedor de microcorrientes,Dispositivo de suavizado de la línea de ojos y labios con microcorriente de BEAR ™ 2,bestsellers,0.78
Hydration UFO™ 3 Deep facial hydration device UFO™ 3 LED Near-infrared and red light therapy device UFO™ 3 mini Red light therapy device for young skin UFO™ 3 go Portable red light therapy Masks Rejuvenation & hydration UFO™ devices All deep facial hydration devices,Hidratación UFO™ 3 Dispositivo de hidratación facial profunda UFO™ 3 LED Dispositivo LED para una hidratación facial profunda UFO™ 3 mini Hidratación facial profunda para piel joven UFO™ 3 go Hidratación facial profunda sobre la marcha Mascarillas Rejuvenecimiento e hidratación Dispositivos UFO™ Todos los dispositivos de hidratación facial profunda,Hidratación UFO™ 3 Dispositivo de hidratación facial UFO™ 3 Dispositivo de terapia de luz LED cercano-infrarroja y roja UFO™ 3 mini Dispositivo de terapia de luz roja para piel joven UFO™ 3 go Dispositivo portátil de mascarilla de luz roja Rejuvenecimiento,bestsellers,0.6769
UFO™ 3 LED Near-infrared and red light therapy device,UFO™ 3 LED Dispositivo LED para una hidratación facial profunda,Dispositivo de terapia con luz infrarroja cercana y luz roja UFO™ 3 LED,bestsellers,0.6272
UFO™ 3 mini Red light therapy device for young skin,UFO™ 3 mini Hidratación facial profunda para piel joven,Dispositivo de terapia con luz roja UFO™ 3 mini para piel joven,bestsellers,0.7816
UFO™ 3 go Portable red light therapy,UFO™ 3 go Hidratación facial profunda sobre la marcha,Terapia de luz portátil con luz roja UFO™ 3 go,bestsellers,0.5714
Oral care issa™ 4 Hybrid silicone sonic toothbrush issa™ 4 plus Smart hybrid silicone sonic toothbrush issa™ 4 smile Hybrid silicone sonic toothbrush issa™ 4 baby For ages 0-3 ISSA™ devices All silicone sonic toothbrushes,Cuidado bucal issa™ 4 Cepillo de dientes sónico híbrido de silicona issa™ 4 plus Cepillo de dientes sónico híbrido de silicona inteligente issa™ 4 smile Cepillo de dientes sónico híbrido de silicona issa™ 4 baby Para niños de 0 a 3 años Dispositivos ISSA™ Todos los cepillos de dientes sónicos de silicona,"Cuidado oral issa™ 4 Cepillo de dientes sónico híbrido de silicona issa™ 4 plus, cepillo de dientes sónico híbrido de silicona Smile Hybrid, cepillo de dientes sónico de silicona issa™ 4 bebé Para niños de 0 a 3 años ISSA™ Dispositivos Todos los cepillos de",bestsellers,0.7588
issa™ 4 plus Smart hybrid silicone sonic toothbrush,issa™ 4 plus Cepillo de dientes sónico híbrido de silicona inteligente,El cepillo de dientes sonico hibrido de silicio IssaTM 4 Plus,bestsellers,0.7759
issa™ 4 smile Hybrid silicone sonic toothbrush,issa™ 4 smile Cepillo de dientes sónico híbrido de silicona,Issa™ 4 Smile Hybrid silicónico cepillo de dientes sonico,bestsellers,0.7874
