english,spanish,gemma2:9b,endpoint,score
Get your FOREO bestseller now,Consigue tu FOREO superventas ahora,Consigue ahora tu best-seller FOREO.,bestsellers,0.7969
BEAR™ 2,BEAR™ 2,OSITO™ 2,bestsellers,0.7021
"Safe, painless and non-invasive alternative to facelifts and botox.","Alternativa segura, no invasiva y sin dolor al lifting facial y a los neuromoduladores.","Seguro, indoloro y no invasivo alternativa a los procedimientos de rejuvenecimiento facial y al bótox.",bestsellers,0.7831
Sensitive Skin,Sensitive Skin,Piel sensible,bestsellers,0.6763
Best-selling 2-in-1 smart facial cleansing & firming device.,Dispositivo limpiador y reafirmante facial 2 en 1 más vendido.,Dispositivo inteligente de limpieza facial y reafirmación de venta número uno.,bestsellers,0.7281
Balanced Skin,Balanced Skin,Piel equilibrada,bestsellers,0.7751
Combination Skin,Combination Skin,Piel mixta,bestsellers,0.7372
Like an iron for your wrinkles. Clinically proven to reduce wrinkles in just 1 week.,Clínicamente probado para reducir las arrugas en sólo 1 semana.,Como un hierro para tus arrugas. Prácticamente probado para reducir las arrugas en tan sólo 1 semana.,bestsellers,0.7074
BEAR™ 2 go,BEAR™ 2 go,OSO™ 2 ir,bestsellers,0.6041
"Snatched skin anytime, anywhere with this travel-ready microcurrent device.",Piel deslumbrante en cualquier momento y lugar.,Pelo recogido en cualquier momento y lugar con este dispositivo de microcorrientes portátil.,bestsellers,0.5018
BLACK FRIDAY 2025 GET THE CODE,BLACK FRIDAY 2025 CONSÍGUE EL CÓDIGO,VIERNES NEGRO 2025 OBTÉN EL CÓDIGO,bestsellers,0.6659
GET THE CODE,CONSÍGUE EL CÓDIGO,OBTENER EL CÓDIGO,bestsellers,0.6963
Popular Special offers Bestsellers Red light therapy,Popular Sorpresas especiales Superventas Terapia de luz roja,Ofertas Populares Los Más Vendidos Terapia de Luz Roja,bestsellers,0.7423
Bestsellers,Superventas,Bestsellers,bestsellers,0.7567
