english,spanish,gemma3:4b-it-qat,endpoint,score
"Life is beautiful. But, with FOREO, it can also be extraordinary. Pamper yourself like never before with best-selling FOREO skincare and oral care devices, and indulge in moments of relaxation, rejuvenation and self-discovery. Over 20 million happy skincare lovers worldwide.","La vida es bella, pero con FOREO puede ser extraordinaria. Mima tu piel como nunca antes con los dispositivos más vendidos para el cuidado bucal y el cuidado de la piel de FOREO, y disfruta de unos relajantes momentos de rejuvenecimiento y descubrimiento personal. Únete a los más de 20 millones de amantes del cuidado de la piel en todo el mundo.","La vida es hermosa. Pero, con FOREO, también puede ser extraordinaria. Exquisitos con FOREO, dispositivos de cuidado de la piel y bucal más vendidos, y déjate consentir en momentos de relajación, rejuvenecimiento y autodescubrimiento. Más de 20 millones de amantes del cuidado de la piel felices en todo el mundo.",bestsellers,0.7216
Highest price,Precio descendente,Mayor precio,bestsellers,0.6151
Sensitive Skin,Sensitive Skin,Piel sensible,bestsellers,0.6763
Best-selling 2-in-1 smart facial cleansing & firming device.,Dispositivo limpiador y reafirmante facial 2 en 1 más vendido.,Dispositivo inteligente de limpieza facial y reafirmante de venta más alta.,bestsellers,0.742
Balanced Skin,Balanced Skin,Piel equilibrada,bestsellers,0.7753
Combination Skin,Combination Skin,Piel mixta,bestsellers,0.7372
Like an iron for your wrinkles. Clinically proven to reduce wrinkles in just 1 week.,Clínicamente probado para reducir las arrugas en sólo 1 semana.,Como un hierro para tus arrugas. Clínicamente probado para reducir las arrugas en solo 1 semana.,bestsellers,0.6924
LUNA™ 4 body,LUNA™ 4 body,Cuerpo LUNA™ 4,bestsellers,0.7775
"Snatched skin anytime, anywhere with this travel-ready microcurrent device.",Piel deslumbrante en cualquier momento y lugar.,Piel arrebatada en cualquier momento y lugar con este dispositivo microcorriente listo para viajar.,bestsellers,0.4517
My orders,Mis pedidos,Mis órdenes,bestsellers,0.5639
GET THE CODE,CONSÍGUE EL CÓDIGO,Obtén el código,bestsellers,0.5138
Popular Special offers Bestsellers Red light therapy,Popular Sorpresas especiales Superventas Terapia de luz roja,Ofertas especiales populares Terapias con luz roja,bestsellers,0.7505
Bestsellers,Superventas,Bestsellers,bestsellers,0.7567
"Swedish beauty routine Facial cleansing LUNA™ 4 Anti-aging massage LUNA™ 4 plus Anti-aging massage, LED heating LUNA™ 4 MEN For men, anti-aging massage LUNA™ 4 mini For young skin, T-zone LUNA™ 4 go For travel or gym bag LUNA™ skincare Premium cleansers & balm LUNA™ devices All facial cleansing devices Facelift BEAR™ 2 Microcurrent toning device BEAR™ 2 go Microcurrent toning on-the-go BEAR™ 2 eyes & lips Microcurrent line smoothing device Facelift skincare Premium anti-aging skincare BEAR™ devices All premium facelift devices Hydration UFO™ 3 Deep facial hydration device UFO™ 3 LED Near-infrared and red light therapy device UFO™ 3 mini Red light therapy device for young skin UFO™ 3 go Portable red light therapy Masks Rejuvenation & hydration UFO™ devices All deep facial hydration devices Oral care issa™ 4 Hybrid silicone sonic toothbrush issa™ 4 plus Smart hybrid silicone sonic toothbrush issa™ 4 smile Hybrid silicone sonic toothbrush issa™ 4 baby For ages 0-3 ISSA™ devices All silicone sonic toothbrushes","RUTINA SUECAS DE BELLEZA Limpieza facial LUNA™ 4 Masaje antiedad LUNA™ 4 Plus Masaje antiedad y calor LED LUNA™ 4 Men Masaje antiedad para hombres LUNA™ 4 mini Zona-T, para piel joven LUNA™ 4 go Para llevar siempre contigo Cuidado de la piel LUNA™ Limpiadores y bálsamos faciales premium Dispositivos LUNA™ Todos los dispositivos de limpieza facial Lifting facial BEAR™ 2 Tonificador facial de microcorrientes BEAR™ 2 go Tonificación con microcorrientes sobre la marcha BEAR™ 2 eyes & lips Dispositivo rejuvenecedor de microcorrientes Lifting facial Cuidado de la piel antiedad Dispositivos BEAR™ Todos los dispositivos de lifting facial premium Hidratación UFO™ 3 Dispositivo de hidratación facial profunda UFO™ 3 LED Dispositivo LED para una hidratación facial profunda UFO™ 3 mini Hidratación facial profunda para piel joven UFO™ 3 go Hidratación facial profunda sobre la marcha Mascarillas Rejuvenecimiento e hidratación Dispositivos UFO™ Todos los dispositivos de hidratación facial profunda Cuidado bucal issa™ 4 Cepillo de dientes sónico híbrido de silicona issa™ 4 plus Cepillo de dientes sónico híbrido de silicona inteligente issa™ 4 smile Cepillo de dientes sónico híbrido de silicona issa™ 4 baby Para niños de 0 a 3 años Dispositivos ISSA™ Todos los cepillos de dientes sónicos de silicona","Rutina de belleza escandinava Limpieza facial LUNA™ 4 Masaje anti-edad LUNA™ 4 plus Masaje anti-edad, calefacción LED LUNA™ 4 Hombres Para hombres, masaje anti-edad LUNA™ 4 mini Para piel joven, T-zona LUNA™ 4 go Para viajar o bolso de gimnasio Cuidado facial Premium limpiadores y bálsamo Dispositivos LUNA™ Todos los dispositivos de limpieza facial Lifting BEAR",bestsellers,0.5902
"Facial cleansing LUNA™ 4 Anti-aging massage LUNA™ 4 plus Anti-aging massage, LED heating LUNA™ 4 MEN For men, anti-aging massage LUNA™ 4 mini For young skin, T-zone LUNA™ 4 go For travel or gym bag LUNA™ skincare Premium cleansers & balm LUNA™ devices All facial cleansing devices","Limpieza facial LUNA™ 4 Masaje antiedad LUNA™ 4 Plus Masaje antiedad y calor LED LUNA™ 4 Men Masaje antiedad para hombres LUNA™ 4 mini Zona-T, para piel joven LUNA™ 4 go Para llevar siempre contigo Cuidado de la piel LUNA™ Limpiadores y bálsamos faciales premium Dispositivos LUNA™ Todos los dispositivos de limpieza facial","Limpieza facial LUNA™ 4 Masaje anti-edad LUNA™ 4 plus Masaje anti-edad, LED de calentamiento LUNA™ 4 Hombres para hombres, masaje anti-edad LUNA™ 4 mini Para piel joven, T-zona LUNA™ 4 go Para viajar o bolsa de gimnasio Productos de cuidado facial LUNA™ dispositivos Todos los dispositivos de limpieza facial",bestsellers,0.791
Facelift BEAR™ 2 Microcurrent toning device BEAR™ 2 go Microcurrent toning on-the-go BEAR™ 2 eyes & lips Microcurrent line smoothing device Facelift skincare Premium anti-aging skincare BEAR™ devices All premium facelift devices,Lifting facial BEAR™ 2 Tonificador facial de microcorrientes BEAR™ 2 go Tonificación con microcorrientes sobre la marcha BEAR™ 2 eyes & lips Dispositivo rejuvenecedor de microcorrientes Lifting facial Cuidado de la piel antiedad Dispositivos BEAR™ Todos los dispositivos de lifting facial premium,Facelift BEAR™ 2 Microcurrent toning device BEAR™ 2 go Microcurrent toning en el momento BEAR™ 2 ojos y labios Microcurrent alisador de líneas dispositivo de cuidado facial Facelift cuidado premium anti-edad dispositivos BEAR™ Todos los dispositivos premium de Facelift,bestsellers,0.6453
BEAR™ 2 go Microcurrent toning on-the-go,BEAR™ 2 go Tonificación con microcorrientes sobre la marcha,BEAR™ 2 go Tono microcorriente en cualquier lugar,bestsellers,0.7349
BEAR™ 2 eyes & lips Microcurrent line smoothing device,BEAR™ 2 eyes & lips Dispositivo rejuvenecedor de microcorrientes,BEAR™ 2 ojos y labios dispositivo de alisado de microcorriente,bestsellers,0.7976
Facelift skincare Premium anti-aging skincare,Lifting facial Cuidado de la piel antiedad,Facelift skincare Premium anti-envejecimiento skincare,bestsellers,0.7904
BEAR™ devices All premium facelift devices,Dispositivos BEAR™ Todos los dispositivos de lifting facial premium,Dispositivos premium de rejuvenecimiento facial BEAR™,bestsellers,0.78
Hydration UFO™ 3 Deep facial hydration device UFO™ 3 LED Near-infrared and red light therapy device UFO™ 3 mini Red light therapy device for young skin UFO™ 3 go Portable red light therapy Masks Rejuvenation & hydration UFO™ devices All deep facial hydration devices,Hidratación UFO™ 3 Dispositivo de hidratación facial profunda UFO™ 3 LED Dispositivo LED para una hidratación facial profunda UFO™ 3 mini Hidratación facial profunda para piel joven UFO™ 3 go Hidratación facial profunda sobre la marcha Mascarillas Rejuvenecimiento e hidratación Dispositivos UFO™ Todos los dispositivos de hidratación facial profunda,Hidratación UFO™ 3 Dispositivo facial de hidratación profunda UFO™ 3 Dispositivo de terapia LED de infrarrojos y luz roja Dispositivo de terapia roja en miniatura para piel joven UFO™ 3 UFO™ 3 go Máscaras de terapia roja en miniatura de rejuvenecimiento y hidratación Dispositivos UFO™ 3 de hidratación profunda,bestsellers,0.7304
UFO™ 3 LED Near-infrared and red light therapy device,UFO™ 3 LED Dispositivo LED para una hidratación facial profunda,UFO™ 3 dispositivo de terapia con luz infrarroja y roja.,bestsellers,0.6338
UFO™ 3 mini Red light therapy device for young skin,UFO™ 3 mini Hidratación facial profunda para piel joven,UFO™ 3 mini dispositivo de terapia de luz roja para piel joven,bestsellers,0.7877
UFO™ 3 go Portable red light therapy,UFO™ 3 go Hidratación facial profunda sobre la marcha,UFO™ 3 go Portable luz roja terapia,bestsellers,0.5791
